UF,PIB,Pop_est_2009,classe
RONDÔNIA,71718.96875,6412,2
PIAUÍ,203856.984375,20511,2
SÃO PAULO,432351.59375,38439,2
MARANHÃO,23405.97070312,6470,1
RIO GRANDE DO SUL,48574.01953125,4551,2
SÃO PAULO,60099.21484375,7098,1
PARANÁ,38814.890625,4017,2
PARANÁ,36812.2421875,2822,2
TOCANTINS,487393.9375,46722,2
MATO GROSSO,1389985.25,23784,4
PARANÁ,67600.6328125,6856,2
PARAÍBA,12675.48339844,3518,1
RIO GRANDE DO SUL,23565.09570312,2647,1
MATO GROSSO,168346.625,8602,2
TOCANTINS,243218.171875,30666,1
ALAGOAS,27759.3671875,8517,1
BAHIA,201399.09375,26704,1
RIO GRANDE DO SUL,73449.2734375,3785,2
MINAS GERAIS,52611.05078125,11409,1
RIO GRANDE DO SUL,23514.30859375,2304,2
GOIÁS,98095.1015625,11604,1
RIO GRANDE DO SUL,71049.21875,5598,2
CEARÁ,42898.6640625,11999,1
PERNAMBUCO,163927.328125,20618,1
SÃO PAULO,550863.0625,51412,2
RIO GRANDE DO SUL,94106.140625,6155,2
BAHIA,32824228,2998056,2
PARANÁ,324679.1875,32157,2
CEARÁ,361385.09375,53011,1
MINAS GERAIS,602603.0625,36314,2
SÃO PAULO,245243.796875,4096,4
PARANÁ,25419.0703125,2876,1
GOIÁS,511819.84375,36336,2
SÃO PAULO,843726.0625,81096,2
CEARÁ,95183.4140625,25351,1
PARÁ,237766.78125,55762,1
PARANÁ,1918444.875,103025,2
RIO GRANDE DO SUL,198340.671875,20213,2
SÃO PAULO,37272.37109375,3393,2
BAHIA,28544.64453125,8043,1
SÃO PAULO,31979.79492188,3184,2
PARANÁ,39093.01953125,4181,1
SÃO PAULO,4855737.5,205856,3
RIO GRANDE DO NORTE,36583.6171875,8331,1
RIO DE JANEIRO,1503782.75,159408,1
MARANHÃO,73868.296875,17231,1
PARÁ,44749.25390625,12677,1
ALAGOAS,24402.88085938,7772,1
MINAS GERAIS,46966.2890625,4773,2
PIAUÍ,22826.05273438,3267,1
PARAÍBA,12315.78808594,2894,1
PIAUÍ,13804.08300781,3457,1
SERGIPE,16041.54199219,2969,1
PIAUÍ,33577.5078125,9739,1
ESPIRITO SANTO,924333.0625,104534,1
PARANÁ,33912.83984375,5307,1
SÃO PAULO,169384.6875,23801,1
RIO GRANDE DO SUL,118177.3046875,11885,2
MINAS GERAIS,18445.08789062,4069,1
PERNAMBUCO,92327.234375,22783,1
GOIÁS,345585.90625,27793,2
MINAS GERAIS,19402.95703125,3484,1
PIAUÍ,28596.89257812,5965,1
PARANÁ,127319.7421875,4956,3
MINAS GERAIS,28785.10546875,1888,2
ALAGOAS,174139.0625,32655,1
CEARÁ,136965.046875,35135,1
ALAGOAS,39280.7421875,10182,1
ALAGOAS,29361.71679688,7045,1
RIO GRANDE DO SUL,93892.3671875,10734,1
MARANHÃO,38451.5703125,12382,1
GOIÁS,59210.90625,3680,2
SÃO PAULO,21796.19726562,2272,1
RIO GRANDE DO NORTE,28359.14257812,6164,1
PERNAMBUCO,36445.796875,8678,1
RIO DE JANEIRO,5831205,315119,2
PERNAMBUCO,618538.0625,143210,1
GOIÁS,77272.7734375,3582,2
GOIÁS,88645.015625,17883,1
SÃO PAULO,58571.69140625,7002,1
GOIÁS,35280.58203125,3481,2
RIO GRANDE DO SUL,31977.71875,2694,2
MINAS GERAIS,21605.60546875,4924,1
SÃO PAULO,22546134,417098,4
MARANHÃO,95500.625,15574,1
PIAUÍ,11483.71191406,3547,1
SÃO PAULO,343309.71875,24093,2
CEARÁ,25825.7578125,4070,1
BAHIA,52895.79296875,10112,1
BAHIA,36618.66796875,9911,1
ESPIRITO SANTO,62844.390625,9238,1
MINAS GERAIS,56834.83203125,6286,1
SÃO PAULO,349127.375,29714,2
BAHIA,1925639.875,219266,1
MINAS GERAIS,370494.4375,42688,1
PERNAMBUCO,342256.96875,79877,1
MINAS GERAIS,72452.359375,11368,1
MATO GROSSO,135221.484375,14965,1
MINAS GERAIS,25643.0078125,4698,1
RIO GRANDE DO SUL,639887.625,26121,3
BAHIA,33189.3984375,11240,1
RIO GRANDE DO NORTE,27978.04296875,6177,1
SÃO PAULO,123048.6171875,14577,1
SÃO PAULO,101069.890625,5612,2
RIO GRANDE DO SUL,79817.078125,3083,3
GOIÁS,15364.06640625,3573,1
ESPIRITO SANTO,98105.6171875,9361,2
MATO GROSSO DO SUL,231829.265625,13532,2
SÃO PAULO,33205.44921875,5358,1
CEARÁ,85114.359375,18025,1
MARANHÃO,51424.3125,16503,1
SANTA CATARINA,38022.19921875,3062,2
BAHIA,29147.60742188,8821,1
MINAS GERAIS,47056.51171875,8128,1
SANTA CATARINA,237103.515625,14845,2
GOIÁS,259728.625,11319,3
CEARÁ,726944.0625,116759,1
ALAGOAS,22713.8515625,5292,1
BAHIA,53800.0703125,19407,1
PARÁ,43872.1953125,5609,1
