CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,Classificacao
35153953,14,2
35153989,117,3
35154210,47,2
35154283,26,2
35154337,22,2
35154441,21,2
35154684,12,2
35154775,26,4
35154817,19,2
35154854,11,2
35154908,16,2
35155019,30,2
35155111,17,2
35155196,16,2
35155263,30,2
35155287,33,2
35155299,10,2
35156231,24,2
35156541,16,2
35156565,34,2
35157132,18,2
35157478,10,2
35157879,33,2
35158197,16,2
35158318,68,2
35158367,30,2
35158483,56,4
35158525,30,2
35158549,12,1
35158550,12,2
35158823,10,2
35158859,30,2
35159165,13,2
35159177,13,4
35159232,20,2
35159244,12,2
35159359,10,2
35159554,14,2
35159897,34,2
35160519,76,2
35160763,18,2
35161007,14,2
35161238,53,2
35161287,20,2
35161299,32,2
35161317,11,2
35161412,18,2
35161895,47,2
35161913,11,2
35161949,13,2
35161950,18,3
35162152,15,2
35162243,89,4
35162826,11,2
35163326,27,2
35163338,30,2
35164082,15,2
35164732,12,2
35165098,23,2
35165232,43,2
35165268,25,2
35165311,35,3
35165323,19,3
35165335,14,2
35165347,124,4
35165359,12,2
35165621,26,2
35165670,37,2
35165967,11,2
35166397,15,2
35166406,11,2
35166832,15,2
35167447,43,2
35167459,12,1
35167782,38,2
35168531,14,2
35168543,53,2
35168622,49,2
35168671,40,2
35168828,15,2
35168853,26,2
35169882,12,2
35170409,23,2
35170458,21,2
35170636,11,2
35170975,20,2
35171189,23,2
35171487,11,2
35172492,66,2
35172509,37,2
35172856,25,2
35173150,16,2
35173174,19,2
35173186,93,4
35173666,10,2
35173685,16,2
35173708,30,2
35173712,69,2
35174087,13,2
35174178,11,2
35174920,23,2
35175043,20,2
35175493,22,2
35175936,48,2
35176205,21,2
35176229,14,2
35176588,43,2
35176597,10,2
35176734,21,2
35179383,11,2
35179848,24,2
35179887,11,3
35184949,40,2
35185061,29,2
35185383,106,2
35185437,19,2
35185449,20,2
35185760,12,1
35186697,25,2
35187185,16,2
35187537,29,2
35188840,37,2
35189443,33,2
35191243,39,1
35191279,40,1
35191711,12,2
35192211,11,2
35192223,11,1
35194074,41,2
35195005,62,4
35197048,18,2
35197269,53,2
35197397,16,2
35198959,13,2
35207639,49,1
35207676,23,1
35207755,62,2
35218085,17,1
35218112,11,1
35240916,34,1
35240936,73,1
35240941,64,1
35250348,32,1
35256869,12,2
35257758,79,2
35258039,37,2
35268562,30,2
35268586,30,2
35273659,39,1
35276182,28,1
35284348,85,2
35287581,53,2
35287600,13,4
35288573,14,1
35290671,113,3
35290701,120,2
35290749,111,2
35290762,19,3
35290841,53,2
35290993,24,2
35292175,59,2
35295012,139,2
35296004,22,2
35296016,13,2
35297537,95,1
35299182,18,2
35299327,17,2
35299364,67,2
35299625,11,2
35299686,15,3
35299984,12,2
35301279,20,4
35304049,12,2
35304815,133,3
35307592,21,2
35307622,80,2
35313661,49,3
35314785,26,2
35323724,574,2
35324255,118,2
35324462,376,2
35325983,13,2
35330401,90,3
35335733,17,2
35345891,117,2
35363315,105,2
35364265,108,2
35365622,105,2
35367734,49,2
35368015,26,2
35368441,22,3
35369226,11,3
35370824,40,2
35370836,12,2
35374957,29,3
35388117,144,2
35395754,24,2
35399197,41,0
35405231,69,2
35405243,64,2
35405322,120,2
35405346,66,2
35406296,109,2
35407641,30,2
35409169,69,1
35417865,313,2
35419576,22,2
35419588,41,2
35419679,38,2
35428905,67,2
35428929,86,3
35429089,134,2
35429168,26,2
35429673,46,2
35430432,70,2
35433846,61,2
35433858,104,2
35433861,72,2
35434632,130,2
35435818,20,2
35438042,64,1
35438170,19,2
35438261,73,2
35438285,74,2
35438315,68,4
35438418,103,2
35438424,146,2
35438431,68,2
35438480,101,2
35438820,70,2
35439083,103,2
35439216,127,2
35439447,73,2
35439642,10,2
35440036,72,2
35440310,10,2
35440620,62,2
35440966,105,2
35443785,119,2
35443803,95,2
35444091,47,2
35445630,26,2
35446105,183,2
35446725,14,4
35446836,73,2
35446993,80,3
35448060,71,3
35448285,75,2
35449748,20,2
35450868,75,3
35450935,65,2
35451411,19,2
35456731,115,3
35463279,45,4
35467789,22,2
35468344,16,2
35468400,19,3
35470259,20,2
35470582,32,2
35477904,134,2
35480289,21,2
35480691,28,2
35481014,49,2
35481105,16,2
35481555,77,3
35482912,53,2
35800089,13,2
35800090,14,2
35800193,18,2
35800971,12,2
35801458,10,2
35802050,14,2
35802360,14,2
35802578,23,3
35802839,25,3
35803259,11,2
35803844,28,2
35805048,27,2
35805063,34,2
35805440,40,2
35805452,17,2
35805567,11,2
35805661,22,2
35805683,34,2
35805701,16,2
35806122,43,2
35806286,35,2
35806298,17,2
35806304,12,2
35806420,42,2
35807503,11,3
35807618,16,2
35807825,10,2
35808210,59,2
35809184,32,2
35809287,14,2
35809305,16,2
35809512,15,2
35809559,31,2
35809676,59,2
35809688,24,2
35809724,31,2
35809883,15,2
35810228,13,2
35810307,33,2
35810344,30,2
35810538,42,2
35810575,18,2
35810617,36,2
35810794,24,3
35811385,53,2
35811476,35,2
35812031,10,2
35812912,10,1
35813936,32,2
35900148,51,2
35900151,109,2
35901830,157,2
35901945,56,1
35902020,28,1
35902032,87,1
35902287,56,2
